ID,Trip ID,Trip distance,Travel/Stop,userID,Start time,End time,duration,Start lat,Start lon,End lat,End lon,Mode,Main Activity,Validated?
7807928,,,Stop,643,2016-02-16 14:03:57 UTC,2016-02-16 18:33:34 UTC,16177,,,1.341675576,103.9638267,Default,--,FALSE
7807928,1,2295,Travel,643,2016-02-16 18:33:34 UTC,2016-02-17 03:12:49 UTC,31155.0,1.3416755760407546,103.96382671367019,1.3399256491640812,103.96103802719276,Default,,false
7810620,,,Stop,643,2016-02-17 03:12:49 UTC,2016-02-17 05:26:53 UTC,8044,,,1.339925649,103.961038,Default,--,FALSE
7810620,2,2067,Travel,643,2016-02-17 05:26:53 UTC,2016-02-17 09:52:36 UTC,15943.0,1.3399256491640812,103.96103802719276,1.3348449990986613,103.96227189748953,Default,,false
7812394,,,Stop,643,2016-02-17 09:52:36 UTC,2016-02-17 11:05:36 UTC,4380,,,1.334844999,103.9622719,Default,--,FALSE
7812394,3,1214,Travel,643,2016-02-17 11:05:36 UTC,2016-02-17 11:17:40 UTC,724.0,1.3348449990986613,103.96227189748953,1.3417189051113367,103.9639723214037,Foot,,false
7812813,,,Stop,643,2016-02-17 11:17:40 UTC,2016-02-17 14:01:11 UTC,9811,,,1.341718905,103.9639723,Foot,--,FALSE
7821279,,,Stop,643,2016-02-18 11:01:31 UTC,2016-02-18 12:10:36 UTC,4145,,,1.341726517,103.9640694,Default,--,FALSE
7821279,5,6,Travel,643,2016-02-18 12:10:36 UTC,2016-02-18 13:23:20 UTC,4364.0,1.3417265165785144,103.96406943907945,1.3416950999903325,103.96395037486081,Default,,false
7825011,,,Stop,643,2016-02-18 13:23:20 UTC,2016-02-19 00:53:52 UTC,41432,,,1.3416951,103.9639504,Default,--,FALSE
7825011,6,325,Travel,643,2016-02-19 00:53:52 UTC,2016-02-19 01:00:04 UTC,372.0,1.3416950999903325,103.96395037486081,1.3403120917015436,103.96203637041762,Foot,,false
7828130,,,Stop,643,2016-02-19 01:00:04 UTC,2016-02-19 02:43:22 UTC,6198,,,1.340312092,103.9620364,Foot,--,FALSE
7828130,7,235,Travel,643,2016-02-19 02:43:22 UTC,2016-02-19 02:44:42 UTC,80.0,1.3403120917015436,103.96203637041762,1.3414112871228905,103.96339639981021,Foot,,false
7828134,,,Stop,643,2016-02-19 02:44:42 UTC,2016-02-19 03:30:33 UTC,2751,,,1.341411287,103.9633964,Foot,--,FALSE
7828134,8,589,Travel,643,2016-02-19 03:30:33 UTC,2016-02-19 03:34:41 UTC,248.0,1.3414112871228905,103.96339639981021,1.3398533207667902,103.96098642830708,Foot,,false
7828216,,,Stop,643,2016-02-19 03:34:41 UTC,2016-02-19 03:35:56 UTC,75,,,1.339853321,103.9609864,Foot,--,FALSE
7828216,9,408,Travel,643,2016-02-19 03:35:56 UTC,2016-02-19 03:36:45 UTC,49.0,1.3398533207667902,103.96098642830708,1.340720401634829,103.96246236654912,Foot,,false
7828217,,,Stop,643,2016-02-19 03:36:45 UTC,2016-02-19 06:54:48 UTC,11883,,,1.340720402,103.9624624,Foot,--,FALSE
7828217,10,3589,Travel,643,2016-02-19 06:54:48 UTC,2016-02-19 09:16:10 UTC,8482.0,1.340720401634829,103.96246236654912,1.3401032245801394,103.9601385115376,Default,,false
7829683,,,Stop,643,2016-02-19 09:16:10 UTC,2016-02-19 09:27:09 UTC,659,,,1.340103225,103.9601385,Default,--,FALSE
7829683,11,2741,Travel,643,2016-02-19 09:27:09 UTC,2016-02-19 09:33:01 UTC,352.0,1.3401032245801394,103.9601385115376,1.3424601178130933,103.9536892175222,Default,,false
7829685,11,,Stop,643,2016-02-19 09:33:01 UTC,2016-02-19 09:36:28 UTC,207,,,1.342460118,103.9536892,Default,Change Mode/Transfer,FALSE
7829685,11,6333,Travel,643,2016-02-19 09:36:28 UTC,2016-02-19 09:42:19 UTC,351.0,1.3424601178130933,103.9536892175222,1.353448427364071,103.945366941938,Car/Van,,false
7829686,,,Stop,643,2016-02-19 09:42:19 UTC,2016-02-19 13:55:32 UTC,15193,,,1.353448427,103.9453669,Car/Van,--,FALSE
7829686,12,3954,Travel,643,2016-02-19 13:55:32 UTC,2016-02-19 14:02:49 UTC,437.0,1.353448427364071,103.945366941938,1.3274361437309694,103.94676504274753,LRT/MRT,,false
7834316,12,,Stop,643,2016-02-19 14:02:49 UTC,2016-02-19 14:09:19 UTC,390,,,1.327436144,103.946765,LRT/MRT,Change Mode/Transfer,FALSE
7834316,12,6146,Travel,643,2016-02-19 14:09:19 UTC,2016-02-19 14:18:57 UTC,578.0,1.3274361437309694,103.94676504274753,1.3392953907515222,103.96161004861167,Car/Van,,false
7834319,12,,Stop,643,2016-02-19 14:18:57 UTC,2016-02-19 14:23:05 UTC,248,,,1.339295391,103.96161,Car/Van,Change Mode/Transfer,FALSE
7834319,12,6557,Travel,643,2016-02-19 14:23:05 UTC,2016-02-19 14:29:16 UTC,371.0,1.3392953907515222,103.96161004861167,1.3415426662804015,103.96361821903702,Foot,,false
7834321,,,Stop,643,2016-02-19 14:29:16 UTC,2016-02-20 04:59:51 UTC,52235,,,1.341542666,103.9636182,Foot,--,FALSE
7834321,13,1615,Travel,643,2016-02-20 04:59:51 UTC,2016-02-20 05:23:57 UTC,1446.0,1.3415426662804015,103.96361821903702,1.3425055206627587,103.95335442264424,Foot,,false
7835041,,,Stop,643,2016-02-20 05:23:57 UTC,2016-02-20 06:58:15 UTC,5658,,,1.342505521,103.9533544,Foot,--,FALSE
7835041,14,524,Travel,643,2016-02-20 06:58:15 UTC,2016-02-20 07:07:20 UTC,545.0,1.3425055206627587,103.95335442264424,1.34464553256164,103.9574932680876,Foot,,false
7837763,,,Stop,643,2016-02-20 07:07:20 UTC,2016-02-20 07:12:01 UTC,281,,,1.344645533,103.9574933,Foot,--,FALSE
7837763,15,644,Travel,643,2016-02-20 07:12:01 UTC,2016-02-20 07:21:40 UTC,579.0,1.34464553256164,103.9574932680876,1.340853363866168,103.9607785034696,Foot,,false
7837766,15,,Stop,643,2016-02-20 07:21:40 UTC,2016-02-20 07:26:30 UTC,290,,,1.340853364,103.9607785,Foot,Change Mode/Transfer,FALSE
7837766,15,2782,Travel,643,2016-02-20 07:26:30 UTC,2016-02-20 07:33:23 UTC,413.0,1.340853363866168,103.9607785034696,1.3415411149175807,103.96462843302827,Car/Van,,false
7837768,,,Stop,643,2016-02-20 07:33:23 UTC,2016-02-20 12:59:39 UTC,19576,,,1.341541115,103.9646284,Car/Van,--,FALSE
7837768,16,120,Travel,643,2016-02-20 12:59:39 UTC,2016-02-20 13:23:04 UTC,1405.0,1.3415411149175807,103.96462843302827,1.3414949321412475,103.96379923320367,Foot,,false
7850544,,,Stop,643,2016-02-20 13:23:04 UTC,2016-02-21 21:25:29 UTC,115345,,,1.341494932,103.9637992,Foot,--,FALSE
7850544,17,1884,Travel,643,2016-02-21 21:25:29 UTC,2016-02-22 10:27:46 UTC,46937.0,1.3414949321412475,103.96379923320367,1.3363000834717265,103.9635262471709,Default,,false
7856715,,,Stop,643,2016-02-22 10:27:46 UTC,2016-02-22 10:49:26 UTC,1300,,,1.336300083,103.9635262,Default,--,FALSE
7856715,18,359,Travel,643,2016-02-22 10:49:26 UTC,2016-02-22 10:52:11 UTC,165.0,1.3363000834717265,103.9635262471709,1.338824933863875,103.96447081416423,Foot,,false
7861183,,,Stop,643,2016-02-22 10:52:11 UTC,2016-02-22 10:55:38 UTC,207,,,1.338824934,103.9644708,Foot,--,FALSE
7861183,19,421,Travel,643,2016-02-22 10:55:38 UTC,2016-02-22 10:57:00 UTC,82.0,1.338824933863875,103.96447081416423,1.3416671309436197,103.96403645299328,Foot,,false
7861185,,,Stop,643,2016-02-22 10:57:00 UTC,2016-02-23 03:05:06 UTC,58086,,,1.341667131,103.9640365,Foot,--,FALSE
7861185,20,218,Travel,643,2016-02-23 03:05:06 UTC,2016-02-23 03:07:12 UTC,126.0,1.3416671309436197,103.96403645299328,1.3405654265050309,103.96302157335572,Foot,,false
7862802,,,Stop,643,2016-02-23 03:07:12 UTC,2016-02-23 05:28:27 UTC,8475,,,1.340565427,103.9630216,Foot,--,FALSE
7862802,21,275,Travel,643,2016-02-23 05:28:27 UTC,2016-02-23 05:33:16 UTC,289.0,1.3405654265050309,103.96302157335572,1.3398007888331376,103.96109807339242,Foot,,false
7862841,,,Stop,643,2016-02-23 05:33:16 UTC,2016-02-23 09:15:47 UTC,13351,,,1.339800789,103.9610981,Foot,--,FALSE
7862841,22,1040,Travel,643,2016-02-23 09:15:47 UTC,2016-02-23 09:21:58 UTC,371.0,1.3398007888331376,103.96109807339242,1.3417491583126273,103.96398848625464,Default,,false
7863863,,,Stop,643,2016-02-23 09:21:58 UTC,2016-02-23 11:35:09 UTC,7991,,,1.341749158,103.9639885,Default,--,FALSE
7863863,23,502,Travel,643,2016-02-23 11:35:09 UTC,2016-02-23 11:42:02 UTC,413.0,1.3417491583126273,103.96398848625464,1.3396154660395454,103.96106660073252,Foot,,false
7866223,,,Stop,643,2016-02-23 11:42:02 UTC,2016-02-23 11:52:22 UTC,620,,,1.339615466,103.9610666,Foot,--,FALSE
7866223,24,3259,Travel,643,2016-02-23 11:52:22 UTC,2016-02-23 12:03:35 UTC,673.0,1.3396154660395454,103.96106660073252,1.3273299430900662,103.94573611386205,Car/Van,,false
7866226,24,,Stop,643,2016-02-23 12:03:35 UTC,2016-02-23 12:04:44 UTC,69,,,1.327329943,103.9457361,Car/Van,Change Mode/Transfer,FALSE
7866226,24,5249,Travel,643,2016-02-23 12:04:44 UTC,2016-02-23 12:13:01 UTC,497.0,1.3273299430900662,103.94573611386205,1.3242940439139055,103.93008504858878,LRT/MRT,,false
7866227,,,Stop,643,2016-02-23 12:13:01 UTC,2016-02-23 12:27:27 UTC,866,,,1.324294044,103.930085,LRT/MRT,--,FALSE
7866227,25,513,Travel,643,2016-02-23 12:27:27 UTC,2016-02-23 12:31:09 UTC,222.0,1.3242940439139055,103.93008504858878,1.3244163700358458,103.9330418436567,Foot,,false
7866231,25,,Stop,643,2016-02-23 12:31:09 UTC,2016-02-23 12:34:00 UTC,171,,,1.32441637,103.9330418,Foot,Change Mode/Transfer,FALSE
7866231,25,3331,Travel,643,2016-02-23 12:34:00 UTC,2016-02-23 12:47:46 UTC,826.0,1.3244163700358458,103.9330418436567,1.3315688444659912,103.95381616708663,Bus,,false
7866236,25,,Stop,643,2016-02-23 12:47:46 UTC,2016-02-23 12:49:08 UTC,82,,,1.331568844,103.9538162,Bus,Change Mode/Transfer,FALSE
7866236,25,5781,Travel,643,2016-02-23 12:49:08 UTC,2016-02-23 12:51:53 UTC,165.0,1.3315688444659912,103.95381616708663,1.34029808580495,103.96109219564903,Default,,false
7866237,25,,Stop,643,2016-02-23 12:51:53 UTC,2016-02-23 12:55:21 UTC,208,,,1.340298086,103.9610922,Default,Change Mode/Transfer,FALSE
7866237,25,6399,Travel,643,2016-02-23 12:55:21 UTC,2016-02-23 12:59:27 UTC,246.0,1.34029808580495,103.96109219564903,1.3417517064788345,103.9639194935686,Foot,,false
7866239,,,Stop,643,2016-02-23 12:59:27 UTC,2016-02-23 19:43:35 UTC,24248,,,1.341751706,103.9639195,Foot,Home,TRUE
7866239,26,2339,Travel,643,2016-02-23 19:43:35 UTC,2016-02-24 11:02:56 UTC,55161.0,1.3417517064788345,103.9639194935686,1.3346806273018095,103.96236609925064,Default,,false
7866239,,,Stop,643,2016-02-23 12:59:27 UTC,2016-02-23 19:43:35 UTC,24248,,,1.341751706,103.9639195,Foot,Home,TRUE
7866239,27,2339,Travel,643,2016-02-23 19:43:35 UTC,2016-02-24 11:02:56 UTC,55161.0,1.3417517064788345,103.9639194935686,1.3346806273018095,103.96236609925064,Default,,false
7892674,27,,Stop,643,2016-02-24 11:02:56 UTC,2016-02-24 11:10:31 UTC,455,,,1.334680627,103.9623661,Default,Change Mode/Transfer,FALSE
7892674,27,3611,Travel,643,2016-02-24 11:10:31 UTC,2016-02-24 11:16:43 UTC,372.0,1.3346806273018095,103.96236609925064,1.3381585191479346,103.96420413397517,Foot,,false
7892676,27,,Stop,643,2016-02-24 11:16:43 UTC,2016-02-24 11:18:05 UTC,82,,,1.338158519,103.9642041,Foot,Change Mode/Transfer,FALSE
7892676,27,4928,Travel,643,2016-02-24 11:18:05 UTC,2016-02-24 11:51:11 UTC,1986.0,1.3381585191479346,103.96420413397517,1.341484547761322,103.96371311712576,Default,,false
7892677,,,Stop,643,2016-02-24 11:51:11 UTC,2016-02-25 18:21:50 UTC,109839,,,1.341484548,103.9637131,Default,--,FALSE
7892677,28,4168,Travel,643,2016-02-25 18:21:50 UTC,2016-02-26 02:19:13 UTC,28643.0,1.341484547761322,103.96371311712576,1.3402837927172429,103.96182364599917,Default,,false
7892790,,,Stop,643,2016-02-26 02:19:13 UTC,2016-02-26 02:24:35 UTC,322,,,1.340283793,103.9618236,Default,--,FALSE
7892790,29,1081,Travel,643,2016-02-26 02:24:35 UTC,2016-02-26 03:03:27 UTC,2332.0,1.3402837927172429,103.96182364599917,1.3416685001175612,103.9634354116136,Default,,false
7892791,,,Stop,643,2016-02-26 03:03:27 UTC,2016-02-26 03:30:06 UTC,1599,,,1.3416685,103.9634354,Default,Meal/Eating Break,TRUE
7892791,30,195,Travel,643,2016-02-26 03:30:06 UTC,2016-02-26 03:38:22 UTC,496.0,1.3416685001175612,103.9634354116136,1.3406021749158925,103.96248219320006,Foot,,true
7892834,,,Stop,643,2016-02-26 03:38:22 UTC,2016-02-26 05:29:16 UTC,6654,,,1.340602175,103.9624822,Foot,Education,TRUE
7892834,31,237,Travel,643,2016-02-26 05:29:16 UTC,2016-02-26 05:33:27 UTC,251.0,1.3406021749158925,103.96248219320006,1.3417213694004104,103.96377665820532,Foot,,true
7896046,,,Stop,643,2016-02-26 05:33:27 UTC,2016-02-26 12:02:04 UTC,23317,,,1.341721369,103.9637767,Foot,Home,TRUE
7896046,32,482,Travel,643,2016-02-26 12:02:04 UTC,2016-02-26 12:08:16 UTC,372.0,1.3417213694004104,103.96377665820532,1.3395476185880426,103.96098352166459,Foot,,true
7896065,32,,Stop,643,2016-02-26 12:08:16 UTC,2016-02-26 12:25:05 UTC,1009,,,1.339547619,103.9609835,Foot,Change Mode/Transfer,TRUE
7896065,32,5285,Travel,643,2016-02-26 12:25:05 UTC,2016-02-26 12:45:26 UTC,1221.0,1.3395476185880426,103.96098352166459,1.3242055738247789,103.92987296109831,Bus,,true
7896141,,,Stop,643,2016-02-26 12:45:26 UTC,2016-02-26 13:40:30 UTC,3304,,,1.324205574,103.929873,Bus,Meal/Eating Break,TRUE
7896141,33,4150,Travel,643,2016-02-26 13:40:30 UTC,2016-02-26 13:53:15 UTC,765.0,1.3242055738247789,103.92987296109831,1.3404338139910603,103.96107907503253,Bus,,true
7902643,33,,Stop,643,2016-02-26 13:53:15 UTC,2016-02-26 13:58:46 UTC,331,,,1.340433814,103.9610791,Bus,Change Mode/Transfer,TRUE
7902643,33,4772,Travel,643,2016-02-26 13:58:46 UTC,2016-02-26 14:07:59 UTC,553.0,1.3404338139910603,103.96107907503253,1.3416113293961471,103.96399514909132,Foot,,true
7902646,,,Stop,643,2016-02-26 14:07:59 UTC,2016-02-27 02:23:19 UTC,44120,,,1.341611329,103.9639951,Foot,Home,TRUE
7902646,34,0,Travel,643,2016-02-27 02:23:19 UTC,2016-02-27 02:58:59 UTC,2140.0,1.3416113293961471,103.96399514909132,1.3414907613139304,103.96426417051595,Default,,false
