Stop ID,User ID,Start Time,End Time,replaced_starttime,replaced_endtime,Stop TimeZone,Duration (sec),Final lat,Final lon,Predicted lat,Predicted lon,Final Mode,Predicted Mode,Stop Generated By,Data Type,Validated?,Validated at,Duration before Validation (sec),Deleted?,Encoded Points, Levels, Accompanying,Main Activity,Secondary Activities, Other Activities, Other Mode, min, max, mean, IQR, median, std_dev, npoints,Please select the type(s) of activity that best describes what you did here,Which was your <strong>main</strong> activity?,Vehicle type,Were you the driver?,Parking Place,Fare type,Bus type,Bus number,Taxi Fare,&nbsp;,,Were you the driver?,How many people travelled with you?,Who was with you?,Please tell us how you travelled
7807928,643,2016-02-16 14:03:57 UTC,2016-02-16 18:33:34 UTC,,,Asia/Singapore,16177,1.341675576,103.9638267,,,Default,,algorithm_generated,GPS,FALSE,2016-02-17 04:25:24 UTC,49183,FALSE,,,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7807928,643,2016-02-16 14:03:57 UTC,2016-02-16 18:33:34 UTC,,,Asia/Singapore,16177,1.341675576,103.9638267,,,Default,,algorithm_generated,GPS,FALSE,2016-02-17 04:25:24 UTC,49183,FALSE,,,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7810620,643,2016-02-17 03:12:49 UTC,2016-02-17 05:26:53 UTC,,,Asia/Singapore,8044,1.339925649,103.961038,,,Default,,algorithm_generated,GPS,FALSE,2016-02-17 11:30:38 UTC,25514,FALSE,m`eG{lpyR|IlP,PP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7812394,643,2016-02-17 09:52:36 UTC,2016-02-17 11:05:36 UTC,,,Asia/Singapore,4380,1.334844999,103.9622719,,,Default,,algorithm_generated,GPS,FALSE,2016-02-17 12:00:16 UTC,1467,FALSE,oudGm{oyRlSwM|D{BaCpEbA`AxD\\{ApBxBoBPf@,PAFECEDCP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7812813,643,2016-02-17 11:17:40 UTC,2016-02-17 14:01:11 UTC,,,Asia/Singapore,9811,1.341718905,103.9639723,,,Foot,,algorithm_generated,GPS,FALSE,2016-02-18 11:25:42 UTC,78318,FALSE,wucGecpyRgG}FBpDOeEeCbAeEaCaA_@E{@bA|@iDmBeBz@qCg@zAW{@_AeELqD|D,PEEDD@BCCDCDDFDP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7821279,643,2016-02-18 11:01:31 UTC,2016-02-18 12:10:36 UTC,,,Asia/Singapore,4145,1.341726517,103.9640694,,,Default,,algorithm_generated,GPS,FALSE,2016-02-18 15:00:11 UTC,254,FALSE,u`eGympyRAQ,PP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7825011,643,2016-02-18 13:23:20 UTC,2016-02-19 00:53:52 UTC,,,Asia/Singapore,41432,1.3416951,103.9639504,,,Default,,algorithm_generated,GPS,FALSE,2016-02-19 02:00:09 UTC,3263,FALSE,w`eGknpyRvA}JqArK,PFP,,--,,--,--,10,587.343,67.0494,0,65,25.3922,1130,,,,,,,,,,,,,,,
7825011,643,2016-02-18 13:23:20 UTC,2016-02-19 00:53:52 UTC,,,Asia/Singapore,41432,1.3416951,103.9639504,,,Default,,algorithm_generated,GPS,FALSE,2016-02-19 02:00:09 UTC,3263,FALSE,w`eGknpyRvA}JqArK,PFP,,--,,--,--,10,587.343,67.0494,0,65,25.3922,1130,,,,,,,,,,,,,,,
7828130,643,2016-02-19 01:00:04 UTC,2016-02-19 02:43:22 UTC,,,Asia/Singapore,6198,1.340312092,103.9620364,,,Foot,,algorithm_generated,GPS,FALSE,2016-02-19 12:00:17 UTC,3578,FALSE,q`eGumpyRb@~@dCpAbAjCpBfEkAeB,PBC@DP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7828134,643,2016-02-19 02:44:42 UTC,2016-02-19 03:30:33 UTC,,,Asia/Singapore,2751,1.341411287,103.9633964,,,Foot,,algorithm_generated,GPS,FALSE,2016-02-19 12:00:19 UTC,3580,FALSE,}wdGuapyR}AiF}Be@,PDP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7828216,643,2016-02-19 03:34:41 UTC,2016-02-19 03:35:56 UTC,,,Asia/Singapore,75,1.339853321,103.9609864,,,Foot,,algorithm_generated,GPS,FALSE,2016-02-19 12:00:22 UTC,2671,FALSE,y~dGejpyRxBb@IjAMwAf@pAlAwAwAnBl@nBL`A`A_@x@lE,PCDDDED@DCP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7828217,643,2016-02-19 03:36:45 UTC,2016-02-19 06:54:48 UTC,,,Asia/Singapore,11883,1.340720402,103.9624624,,,Foot,,algorithm_generated,GPS,FALSE,2016-02-19 12:00:24 UTC,2673,FALSE,audGc{oyRkAiFaB}@,PCP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
7829683,643,2016-02-19 09:16:10 UTC,2016-02-19 09:27:09 UTC,,,Asia/Singapore,659,1.340103225,103.9601385,,,Default,,algorithm_generated,GPS,FALSE,2016-02-19 15:06:15 UTC,1,FALSE,ozdGkdpyRrC~H]t@DzA,PCBP,,--,,--,--,,,,,,,,,,,,,,,,,,,,,,
