Travel ID,User ID,Start Time,End Time,Travel TimeZone,Duration (Seconds),Start Lat,Start Lon,End Lat,End Lon,Final Mode,Other Mode,Predicted Mode,Validated?,Validated at,Duration before Validation (Seconds),Deleted?
7807928-7810620,643,2016-02-16 18:33:34 UTC,2016-02-17 03:12:49 UTC,Asia/Singapore,31155.0,1.3416755760407546,103.96382671367019,1.3399256491640812,103.96103802719276,Default,--,,false,2016-02-17 11:30:38 UTC,25514.0,false
7810620-7812394,643,2016-02-17 05:26:53 UTC,2016-02-17 09:52:36 UTC,Asia/Singapore,15943.0,1.3399256491640812,103.96103802719276,1.3348449990986613,103.96227189748953,Default,--,,false,2016-02-17 12:00:16 UTC,1467.0,false
7812394-7812813,643,2016-02-17 11:05:36 UTC,2016-02-17 11:17:40 UTC,Asia/Singapore,724.0,1.3348449990986613,103.96227189748953,1.3417189051113367,103.9639723214037,Foot,--,,false,2016-02-18 11:25:42 UTC,78318.0,false
7821279-7825011,643,2016-02-18 12:10:36 UTC,2016-02-18 13:23:20 UTC,Asia/Singapore,4364.0,1.3417265165785144,103.96406943907945,1.3416950999903325,103.96395037486081,Default,--,,false,2016-02-19 02:00:09 UTC,3263.0,false
7825011-7828130,643,2016-02-19 00:53:52 UTC,2016-02-19 01:00:04 UTC,Asia/Singapore,372.0,1.3416950999903325,103.96395037486081,1.3403120917015436,103.96203637041762,Foot,--,,false,2016-02-19 12:00:17 UTC,3578.0,false
7828130-7828134,643,2016-02-19 02:43:22 UTC,2016-02-19 02:44:42 UTC,Asia/Singapore,80.0,1.3403120917015436,103.96203637041762,1.3414112871228905,103.96339639981021,Foot,--,,false,2016-02-19 12:00:19 UTC,3580.0,false
7828134-7828216,643,2016-02-19 03:30:33 UTC,2016-02-19 03:34:41 UTC,Asia/Singapore,248.0,1.3414112871228905,103.96339639981021,1.3398533207667902,103.96098642830708,Foot,--,,false,2016-02-19 12:00:22 UTC,2671.0,false
7828216-7828217,643,2016-02-19 03:35:56 UTC,2016-02-19 03:36:45 UTC,Asia/Singapore,49.0,1.3398533207667902,103.96098642830708,1.340720401634829,103.96246236654912,Foot,--,,false,2016-02-19 12:00:24 UTC,2673.0,false
7828217-7829683,643,2016-02-19 06:54:48 UTC,2016-02-19 09:16:10 UTC,Asia/Singapore,8482.0,1.340720401634829,103.96246236654912,1.3401032245801394,103.9601385115376,Default,--,,false,2016-02-19 15:06:15 UTC,1.0,false
7829683-7829685,643,2016-02-19 09:27:09 UTC,2016-02-19 09:33:01 UTC,Asia/Singapore,352.0,1.3401032245801394,103.9601385115376,1.3424601178130933,103.9536892175222,Default,--,,false,2016-02-19 16:00:11 UTC,3237.0,false
7829685-7829686,643,2016-02-19 09:36:28 UTC,2016-02-19 09:42:19 UTC,Asia/Singapore,351.0,1.3424601178130933,103.9536892175222,1.353448427364071,103.945366941938,Car/Van,--,,false,2016-02-19 16:00:14 UTC,3240.0,false
